pair,omega,measured,model,err_pct
twin,1,1.000,1.000,0.0
twin,2,1.196,1.193,-0.3
twin,3,1.495,1.485,-0.7
twin,4,1.936,1.914,-1.1
twin,5,2.581,2.546,-1.4
twin,6,3.524,3.472,-1.5
twin,7,4.808,4.821,0.3
cousin,1,1.000,1.000,0.0
cousin,2,0.962,0.958,-0.4
cousin,3,0.901,0.893,-0.9
cousin,4,0.804,0.792,-1.5
cousin,5,0.648,0.637,-1.7
cousin,6,0.420,0.410,-2.3
cousin,7,0.127,0.129,1.4
sexyA,1,1.000,1.000,0.0
sexyA,2,0.962,0.958,-0.4
sexyA,3,0.901,0.893,-0.9
sexyA,4,0.804,0.792,-1.5
sexyA,5,0.650,0.637,-2.0
sexyA,6,0.414,0.410,-1.0
sexyA,7,0.150,0.129,-14.4
sexyB,1,1.000,1.000,0.0
sexyB,2,1.077,1.074,-0.3
sexyB,3,1.157,1.148,-0.8
sexyB,4,1.198,1.182,-1.3
sexyB,5,1.134,1.114,-1.8
sexyB,6,0.881,0.864,-1.9
sexyB,7,0.402,0.374,-6.8
